                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3463,                 1.3238,                 1.1528,                0.93964,                0.89085,                0.90811,                0.53249,                 1.3884,                0.95247,                 1.1022,              0.0033308,              0.0033308,              0.0033308
                      2,                 1.2939,                0.86649,                 1.1009,                0.93009,                0.89233,                0.89968,                0.51913,                 1.4347,                0.81975,                 1.1171,              0.0065322,              0.0065322,              0.0065322
                      3,                 1.3293,                0.81886,                 1.1222,                0.91483,                0.87758,                0.87992,                0.47524,                 1.5894,                0.83968,                 1.1822,              0.0096016,              0.0096016,              0.0096016
                      4,                 1.3301,                0.79415,                 1.1336,                0.94978,                0.89447,                0.92249,                0.55668,                 1.3584,                0.73795,                 1.0899,               0.009406,               0.009406,               0.009406
                      5,                  1.286,                0.74123,                 1.1133,                0.94663,                0.90291,                0.93498,                0.58949,                 1.3065,                0.65099,                 1.0653,               0.009406,               0.009406,               0.009406
                      6,                 1.2527,                0.70822,                 1.0987,                0.96879,                0.90264,                0.93401,                0.60312,                 1.2522,                0.62918,                  1.053,               0.009208,               0.009208,               0.009208
                      7,                 1.2278,                0.67371,                 1.0894,                0.96991,                0.90709,                0.94336,                0.61742,                  1.263,                0.58441,                  1.049,                0.00901,                0.00901,                0.00901
                      8,                 1.2135,                0.65266,                 1.0822,                0.96616,                 0.9076,                0.94105,                0.60365,                 1.3087,                 0.5796,                 1.0631,               0.008812,               0.008812,               0.008812
                      9,                 1.2006,                0.64371,                 1.0738,                0.96673,                0.91792,                0.94488,                0.62785,                 1.2184,                0.56191,                 1.0281,               0.008614,               0.008614,               0.008614
                     10,                 1.1786,                0.62381,                 1.0681,                0.96903,                0.90572,                 0.9476,                0.61317,                 1.2955,                0.54502,                  1.051,               0.008416,               0.008416,               0.008416
                     11,                 1.1775,                0.61275,                 1.0653,                0.97303,                0.91557,                0.94747,                0.62797,                 1.2611,                0.52949,                 1.0442,               0.008218,               0.008218,               0.008218
                     12,                 1.1619,                0.60065,                 1.0617,                0.97321,                0.91557,                0.94774,                0.62322,                 1.2473,                0.52827,                   1.04,                0.00802,                0.00802,                0.00802
                     13,                 1.1603,                 0.5948,                 1.0567,                 0.9752,                0.91886,                0.95279,                0.64504,                 1.2073,                0.50595,                 1.0228,               0.007822,               0.007822,               0.007822
                     14,                 1.1456,                0.58526,                 1.0519,                0.98088,                0.91446,                0.95484,                0.64314,                 1.2148,                0.50297,                  1.028,               0.007624,               0.007624,               0.007624
                     15,                 1.1414,                 0.5756,                 1.0504,                0.97498,                0.91792,                0.95144,                0.65107,                 1.1855,                0.48997,                 1.0119,               0.007426,               0.007426,               0.007426
                     16,                 1.1367,                0.57561,                 1.0465,                0.97474,                0.92317,                0.95366,                 0.6476,                 1.1871,                0.48504,                 1.0154,               0.007228,               0.007228,               0.007228
                     17,                 1.1234,                0.56372,                 1.0445,                0.97612,                0.92044,                0.95679,                0.64921,                 1.1803,                0.48809,                 1.0124,                0.00703,                0.00703,                0.00703
                     18,                 1.1219,                0.55587,                  1.041,                0.96579,                0.92694,                0.95727,                0.65207,                 1.1935,                0.48161,                 1.0163,               0.006832,               0.006832,               0.006832
                     19,                 1.1175,                0.55384,                 1.0387,                0.97429,                0.92417,                0.95842,                0.66136,                 1.1682,                 0.4708,                 1.0051,               0.006634,               0.006634,               0.006634
